Lat,Long
38.648824,-90.261134
38.648824,-90.261134
38.649895,-90.25996
38.649895,-90.25996
38.641216,-90.26425
38.577341,-90.252685
38.654571,-90.282485
38.604168,-90.219496
38.604168,-90.219496
38.652581,-90.282717
38.652581,-90.282717
38.628413,-90.19335
38.628413,-90.19335
38.710975,-90.22467
38.669387,-90.24555
38.668909,-90.24794
38.63341,-90.203164
38.658809,-90.250305
38.668414,-90.23056
38.667677,-90.23268
38.64889,-90.21889
38.606096,-90.2107
38.606096,-90.2107
38.631973,-90.20771
38.563883,-90.24691
38.67405,-90.228431
38.674463,-90.21117
38.666588,-90.21323
38.667787,-90.21504
38.628201,-90.250191
38.628201,-90.250191
38.628201,-90.250191
38.670905,-90.2152
38.623591,-90.254193
38.632896,-90.184874
38.680111,-90.27533
38.681381,-90.27491
38.681075,-90.26737
38.586294,-90.25346
38.556773,-90.25932
38.556773,-90.25932
38.568111,-90.25002
38.5807,-90.26846
38.5807,-90.26846
38.652559,-90.28275
38.652559,-90.28275
38.604695,-90.2962
38.604695,-90.2962
38.604695,-90.2962
38.579286,-90.26928
38.68814,-90.24629
38.688269,-90.2468
38.688785,-90.246957
38.689923,-90.24488
38.692392,-90.24326
38.620859,-90.26834
38.620859,-90.26834
38.660623,-90.2574
38.583491,-90.284027
38.670661,-90.28833
38.679694,-90.21105
38.67731,-90.23679
38.664675,-90.24421
38.557148,-90.28586
38.627675,-90.24992
38.633548,-90.224375
38.609406,-90.26947
38.569824,-90.2412
38.61633,-90.20429
38.679573,-90.258885
38.647252,-90.24286
38.633143,-90.20753
38.652347,-90.20649
38.580073,-90.28478
38.607068,-90.20445
38.680047,-90.20885
38.566278,-90.27615
38.566278,-90.27615
38.630969,-90.19449
38.706158,-90.25253
38.637207,-90.213445
38.637207,-90.213445
38.637207,-90.213445
38.637207,-90.213445
38.586246,-90.22998
38.562982,-90.243591
38.570829,-90.238785
38.570829,-90.238785
38.669714,-90.23712
38.552369,-90.260293
38.688523,-90.24294
38.638172,-90.188436
38.575456,-90.2481
38.611453,-90.202289
38.682952,-90.235967
38.59294,-90.299045
38.609523,-90.19952
38.600702,-90.20709
38.590046,-90.299101
38.720259,-90.240505
38.635012,-90.26479
38.635012,-90.26479
38.588842,-90.267654
38.596311,-90.275054
38.596311,-90.275054
38.562024,-90.242884
38.614004,-90.265286
38.558601,-90.24926
38.605797,-90.20609
38.605797,-90.20609
38.678545,-90.226467
38.667693,-90.232683
38.591435,-90.27327
38.626452,-90.28793
38.626452,-90.28793
38.540851,-90.26399
38.540851,-90.26399
38.540851,-90.26399
38.540851,-90.26399
38.600079,-90.235765
38.565543,-90.29381
38.590241,-90.2741
38.590241,-90.2741
38.720288,-90.23548
38.631843,-90.18414
38.584313,-90.234615
38.660942,-90.22335
38.603872,-90.292
38.669721,-90.28498
38.625621,-90.1985
38.625621,-90.1985
38.59704,-90.27677
38.660778,-90.26378
38.679768,-90.235528
38.70736,-90.248667
38.556439,-90.262536
38.551525,-90.269073
38.614554,-90.24035
38.674542,-90.23303
38.591578,-90.270157
38.606095,-90.219747
38.556439,-90.262536
38.67569,-90.26483
38.557752,-90.26122
38.557752,-90.26122
38.6432,-90.263445
38.632594,-90.202265
38.632594,-90.202265
38.660544,-90.262293
38.657916,-90.20812
38.657916,-90.20812
38.657916,-90.20812
38.657916,-90.20812
38.716765,-90.2358
38.626145,-90.265276
38.682945,-90.228366
38.66315,-90.25407
38.624841,-90.189623
38.624841,-90.189623
38.606552,-90.23527
38.632732,-90.206731
38.632732,-90.206731
38.682091,-90.272244
38.682091,-90.272244
38.682091,-90.272244
38.627074,-90.18926
38.627074,-90.18926
38.551525,-90.269073
